ASIN,buy_box_seller_name,buy_box_seller_price,lowest_price_seller_name,lowest_price_seller_price,seller_2_name,seller_2_price,seller_3_name,seller_3_price,seller_4_name,seller_4_price,seller_5_name,seller_5_price,seller_6_name,seller_6_price
B018HWHWNA,"
Cloudtail India",₹ 694.00,"
Cloudtail India",694,Visiaro India,"₹ 1,847.00",Industrial M,"₹ 1,847.00",,,,,,
B018HWI4AA,"
Cloudtail India",₹ 535.00,"
Cloudtail India",535,Visiaro India,"₹ 1,284.00",Industrial M,"₹ 1,284.00",,,,,,
B018VNUGHO,"
Visiaro India",₹ 200.00,"
Visiaro India",200,Industrial M,₹ 217.00,Cloudtail India,₹ 225.00,,,,,,
B018VNUI86,"
Cloudtail India",₹ 694.00,"
Cloudtail India",694,Visiaro India,"₹ 1,847.00",Industrial M,"₹ 1,847.00",,,,,,
B018VNUK02,"
Cloudtail India",₹ 535.00,"
Cloudtail India",535,Visiaro India,"₹ 1,284.00",Industrial M,"₹ 1,284.00",,,,,,
B018VNULUQ,"
Visiaro India",₹ 200.00,"
Visiaro India",200,Industrial M,₹ 217.00,Cloudtail India,₹ 225.00,,,,,,
B018VNUO3K,,,,,,,,,,,,,,
B018VNUQ2Y,,,,,,,,,,,,,,
B018VNUS2W,,,,,,,,,,,,,,
B018VNUTRG,,,,,,,,,,,,,,
B018VNUVKG,,,,,,,,,,,,,,
B018VNUX7W,,,,,,,,,,,,,,
B018VNUYLM,,,,,,,,,,,,,,
B018VNV0DI,,,,,,,,,,,,,,
B018VNV1DW,,,,,,,,,,,,,,
B018VNV29U,,,,,,,,,,,,,,
B018VNV40C,,,,,,,,,,,,,,
B018VNV57Y,,,,,,,,,,,,,,
B018VNV6NW,,,,,,,,,,,,,,
B018VNV82G,,,,,,,,,,,,,,
B018VNV9BG,,,,,,,,,,,,,,
B018VNVAQA,,,,,,,,,,,,,,
B018VNVC6S,,,,,,,,,,,,,,
B018VNVFVU,,,,,,,,,,,,,,
B018VNVHJU,,,,,,,,,,,,,,
B018VNVL5K,,,,,,,,,,,,,,
B018VNVN2G,,,,,,,,,,,,,,
B018VNVPPG,,,,,,,,,,,,,,
B018VNVQVO,,,,,,,,,,,,,,
B018VNVTIO,,,,,,,,,,,,,,
B018VNVUTC,,,,,,,,,,,,,,
B018VNVYDY,,,,,,,,,,,,,,
B018VNXW8Y,,,,,,,,,,,,,,
B018VNXXI8,,,,,,,,,,,,,,
B018VNXYXC,,,,,,,,,,,,,,
B018VNY490,,,,,,,,,,,,,,
B018VNY5W6,,,,,,,,,,,,,,
B018VNY7NI,,,,,,,,,,,,,,
B018VNY936,,,,,,,,,,,,,,
B018VNYAFI,,,,,,,,,,,,,,
B018VNYBP2,,,,,,,,,,,,,,
B018VNYD4G,,,,,,,,,,,,,,
B018VNYEMW,,,,,,,,,,,,,,
B018VNYG8O,,,,,,,,,,,,,,
